Risk Category,Risk Sub-Category,Discovery Date,Occurrence Start Date,Year,Net Loss,Recovery Amount,Estimated Gross Loss,Recovery Amount (percent)
External Fraud,Theft and Fraud,42125,42128,2015,92290.3,35070.314,108400,38
External Fraud,Theft and Fraud,42127,42128,2015,255848.44,58845.1412,249100,23
"Execution, Delivery and Process Management",Reporting and Disclosure,42127,42130,2015,94322.52,25467.0804,101200,27
External Fraud,Systems Security,42128,42131,2015,24796.38,8678.733,28100,35
External Fraud,Theft and Fraud,42132,42135,2015,59423.87,16638.6836,52500,28
External Fraud,Theft and Fraud,42140,42143,2015,267336.6,93567.81,265300,35
"Execution, Delivery and Process Management",Trade Counterparties,42146,42149,2015,111843.11,32434.5019,104600,29
External Fraud,Theft and Fraud,42149,42152,2015,133196.14,41290.8034,142300,31
"Execution, Delivery and Process Management",Reporting and Disclosure,42151,42154,2015,143453.52,38732.4504,147600,27
"Execution, Delivery and Process Management",Reporting and Disclosure,42152,42153,2015,737042.65,287446.6335,749300,39
External Fraud,Systems Security,42154,42155,2015,52741.18,16349.7658,50100,31
"Execution, Delivery and Process Management",Customer Intake and Documentation,42162,42163,2015,149691.12,31435.1352,167900,21
Business Disruption and System Failures,Infrastructure and Systems,42162,42165,2015,46462.9,13938.87,46100,30
"Execution, Delivery and Process Management",Trade Counterparties,42164,42167,2015,818980.7,253884.017,829000,31
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",42166,42169,2015,132605.88,41107.8228,140200,31
External Fraud,Theft and Fraud,42168,42170,2015,61290.44,16548.4188,57700,27
External Fraud,Theft and Fraud,42168,42170,2015,141643.36,56657.344,143100,40
"Execution, Delivery and Process Management",Reporting and Disclosure,42171,42174,2015,61626.5,17871.685,59400,29
Employment Practices and Workplace Safety,Diversity and Discrimination,42173,42175,2015,206134.09,45349.4998,205800,22
"Execution, Delivery and Process Management",Vendors and Suppliers,42174,42175,2015,230710.76,27685.2912,232300,12
Employment Practices and Workplace Safety,Employee Relations,42177,42180,2015,12195.79,4390.4844,10600,36
External Fraud,Theft and Fraud,42181,42184,2015,225985.84,49716.8848,224000,22
External Fraud,Systems Security,42183,42184,2015,22284.09,6016.7043,29600,27
External Fraud,Theft and Fraud,42187,42188,2015,114302.81,27432.6744,110800,24
Employment Practices and Workplace Safety,Safe Environment,42188,42191,2015,92036.76,32212.866,100800,35
External Fraud,Theft and Fraud,42190,42191,2015,17543.18,4034.9314,28800,23
"Execution, Delivery and Process Management",Customer/Client Account Management,42190,42191,2015,120424.46,33718.8488,125800,28
External Fraud,Theft and Fraud,42191,42194,2015,268938.29,67234.5725,279800,25
"Execution, Delivery and Process Management",Transaction/Data Management,42195,42197,2015,156503.32,42255.8964,160100,27
"Execution, Delivery and Process Management",Customer Intake and Documentation,42195,42198,2015,198841.5,59652.45,202700,30
"Execution, Delivery and Process Management",Trade Counterparties,42198,42199,2015,197065.09,41383.6689,207400,21
External Fraud,Systems Security,42200,42203,2015,21652.4,6279.196,28500,29
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",42201,42203,2015,67986.21,14956.9662,78900,22
External Fraud,Theft and Fraud,42204,42207,2015,167992.1,57117.314,166400,34
External Fraud,Theft and Fraud,42204,42205,2015,116742.59,37357.6288,116300,32
Employment Practices and Workplace Safety,Diversity and Discrimination,42221,42224,2015,227411.13,47756.3373,224800,21
External Fraud,Theft and Fraud,42223,42224,2015,243805.83,87770.0988,241500,36
"Clients, Products and Business Practices",Improper Business or Market Practices,42225,42228,2015,103280.75,35115.455,108300,34
External Fraud,Systems Security,42228,42229,2015,145087.08,55133.0904,151700,38
External Fraud,Theft and Fraud,42233,42234,2015,68683.84,23352.5056,73200,34
External Fraud,Theft and Fraud,42234,42237,2015,29688.16,10687.7376,35500,36
External Fraud,Theft and Fraud,42239,42240,2015,293889.03,64655.5866,292000,22
Employment Practices and Workplace Safety,Employee Relations,42240,42241,2015,93546.47,27128.4763,103300,29
"Execution, Delivery and Process Management",Reporting and Disclosure,42240,42243,2015,83184.07,27450.7431,76500,33
"Execution, Delivery and Process Management",Trade Counterparties,42244,42245,2015,58023.83,22629.2937,72600,39
"Execution, Delivery and Process Management",Reporting and Disclosure,42246,42249,2015,68339.41,25285.5817,83500,37
"Execution, Delivery and Process Management",Reporting and Disclosure,42247,42248,2015,235394.5,70618.35,235200,30
External Fraud,Systems Security,42249,42250,2015,267711.88,53542.376,275700,20
Internal Fraud,Unauthorized Activity,42249,42251,2015,4600.33,1012.0726,13700,22
"Execution, Delivery and Process Management",Customer Intake and Documentation,42254,42257,2015,731583.24,168264.1452,736300,23
External Fraud,Theft and Fraud,42257,42259,2015,147166.64,32376.6608,154700,22
"Execution, Delivery and Process Management",Trade Counterparties,42260,42263,2015,345248.12,138099.248,354800,40
External Fraud,Theft and Fraud,42262,42265,2015,156397.85,53175.269,169500,34
External Fraud,Theft and Fraud,42270,42272,2015,257193.46,102877.384,255000,40
External Fraud,Systems Security,42272,42275,2015,19410.17,5628.9493,30000,29
Business Disruption and System Failures,Infrastructure and Systems,42275,42278,2015,393441.78,129835.7874,399100,33
"Execution, Delivery and Process Management",Reporting and Disclosure,42278,42279,2015,187452.87,37490.574,191700,20
"Clients, Products and Business Practices",Product Flaws,42281,42284,2015,148600.36,29720.072,160800,20
"Execution, Delivery and Process Management",Vendors and Suppliers,42281,42282,2015,240558.72,33678.2208,238900,14
"Execution, Delivery and Process Management",Customer/Client Account Management,42291,42292,2015,169999.6,57799.864,178800,34
External Fraud,Theft and Fraud,42291,42294,2015,223125.79,53550.1896,231700,24
"Execution, Delivery and Process Management",Transaction/Data Management,42292,42295,2015,43196.44,8639.288,55700,20
"Execution, Delivery and Process Management",Customer Intake and Documentation,42294,42295,2015,186053.05,50234.3235,192600,27
"Execution, Delivery and Process Management",Reporting and Disclosure,42296,42299,2015,1057781.07,401956.8066,1073400,38
External Fraud,Theft and Fraud,42297,42300,2015,197117.87,70962.4332,210400,36
"Execution, Delivery and Process Management",Trade Counterparties,42297,42298,2015,899068.6,296692.638,899300,33
"Execution, Delivery and Process Management",Trade Counterparties,42304,42307,2015,140276.47,29458.0587,135500,21
External Fraud,Systems Security,42310,42313,2015,120370.74,25277.8554,113300,21
External Fraud,Theft and Fraud,42310,42311,2015,93231.75,32631.1125,92800,35
"Execution, Delivery and Process Management",Reporting and Disclosure,42313,42315,2015,183958.22,38631.2262,186100,21
Business Disruption and System Failures,Infrastructure and Systems,42313,42315,2015,13665.4,2869.734,17200,21
Internal Fraud,Theft and Fraud,42315,42318,2015,266969.6,64072.704,280000,24
"Execution, Delivery and Process Management",Reporting and Disclosure,42320,42323,2015,622358.91,161813.3166,629100,26
External Fraud,Theft and Fraud,42321,42324,2015,52851.94,17441.1402,55100,33
External Fraud,Theft and Fraud,42325,42328,2015,157301.79,40898.4654,170300,26
"Execution, Delivery and Process Management",Customer Intake and Documentation,42331,42333,2015,171028.81,39336.6263,184300,23
"Execution, Delivery and Process Management",Trade Counterparties,42333,42336,2015,175672.36,59728.6024,179500,34
External Fraud,Theft and Fraud,42337,42339,2015,85699.24,21424.81,84400,25
"Clients, Products and Business Practices",Advisory Activities,42342,42345,2015,675262.4,222836.592,674700,33
External Fraud,Systems Security,42343,42346,2015,123150.67,48028.7613,123800,39
External Fraud,Theft and Fraud,42344,42346,2015,152053.04,45615.912,160300,30
"Execution, Delivery and Process Management",Reporting and Disclosure,42350,42351,2015,70721.17,26166.8329,82700,37
External Fraud,Theft and Fraud,42361,42364,2015,50642.01,19243.9638,43500,38
External Fraud,Systems Security,42372,42373,2016,168487.22,42121.805,170500,25
Damage to Physical Assets,Disaster and other events,42372,42373,2016,259281.19,82969.9808,260600,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,42372,42374,2016,866066.2,294462.508,862800,34
"Execution, Delivery and Process Management",Trade Counterparties,42375,42377,2016,192523.57,46205.6568,194000,24
External Fraud,Theft and Fraud,42375,42376,2016,177868.07,64032.5052,189500,36
"Execution, Delivery and Process Management",Reporting and Disclosure,42376,42373,2016,10200000,3774000,10200000,37
External Fraud,Theft and Fraud,42376,42373,2016,3500000,700000,3500000,20
External Fraud,Theft and Fraud,42382,42384,2016,865970.64,346388.256,870200,40
"Clients, Products and Business Practices",Product Flaws,42387,42388,2016,123160.87,28327.0001,117500,23
"Execution, Delivery and Process Management",Reporting and Disclosure,42387,42388,2016,140055.24,51820.4388,145800,37
Internal Fraud,Unauthorized Activity,42393,42396,2016,176446.57,37053.7797,186900,21
"Execution, Delivery and Process Management",Vendors and Suppliers,42396,42397,2016,224771.19,71926.7808,231200,32
"Execution, Delivery and Process Management",Customer/Client Account Management,42396,42399,2016,172250.92,53397.7852,181000,31
Employment Practices and Workplace Safety,Safe Environment,42398,42401,2016,-2941.71,-1029.5985,8300,35
"Execution, Delivery and Process Management",Transaction/Data Management,42403,42406,2016,251287.31,100514.924,260500,40
External Fraud,Theft and Fraud,42407,42404,2016,425000,97750,500000,23
Employment Practices and Workplace Safety,Diversity and Discrimination,42407,42770,2017,250000,100000,300000,40
External Fraud,Theft and Fraud,42408,42410,2016,66141.29,13889.6709,70500,21
External Fraud,Systems Security,42412,42414,2016,22203.87,6661.161,26800,30
"Execution, Delivery and Process Management",Customer Intake and Documentation,42413,42416,2016,6642.61,2391.3396,19300,36
"Execution, Delivery and Process Management",Trade Counterparties,42416,42419,2016,88304.33,30023.4722,95500,34
"Clients, Products and Business Practices",Advisory Activities,42425,42428,2016,206895.16,70344.3544,215600,34
"Execution, Delivery and Process Management",Reporting and Disclosure,42425,42428,2016,38900.77,15171.3003,48300,39
Business Disruption and System Failures,Infrastructure and Systems,42428,42430,2016,24884.77,5225.8017,31900,21
"Execution, Delivery and Process Management",Trade Counterparties,42428,42432,2016,73052.97,20454.8316,65800,28
"Execution, Delivery and Process Management",Reporting and Disclosure,42433,42436,2016,1062.72,361.3248,12900,34
External Fraud,Theft and Fraud,42435,42436,2016,16223.55,5191.536,31700,32
Employment Practices and Workplace Safety,Diversity and Discrimination,42436,42437,2016,22217.92,4665.7632,29300,21
External Fraud,Theft and Fraud,42439,42440,2016,260899.95,91314.9825,263000,35
Employment Practices and Workplace Safety,Employee Relations,42441,42442,2016,143477.08,28695.416,146900,20
"Execution, Delivery and Process Management",Customer Intake and Documentation,42446,42449,2016,244890.92,48978.184,254100,20
"Execution, Delivery and Process Management",Reporting and Disclosure,42446,42447,2016,917329.57,256852.2796,913100,28
"Execution, Delivery and Process Management",Trade Counterparties,42448,42449,2016,829525.21,282038.5714,822200,34
External Fraud,Theft and Fraud,42448,42449,2016,873493.28,349397.312,870000,40
External Fraud,Systems Security,42451,42452,2016,155223.47,45014.8063,167500,29
Damage to Physical Assets,Willful Damage,42455,42456,2016,216329.58,54082.395,217000,25
External Fraud,Theft and Fraud,42456,42457,2016,168323.69,40397.6856,171900,24
External Fraud,Theft and Fraud,42458,42461,2016,241996.83,79858.9539,256000,33
"Execution, Delivery and Process Management",Reporting and Disclosure,42460,42463,2016,922711.24,322948.934,920200,35
"Execution, Delivery and Process Management",Vendors and Suppliers,42464,42466,2016,543720.12,163116.036,545000,30
External Fraud,Theft and Fraud,42467,42470,2016,10607.31,4136.8509,7100,39
"Execution, Delivery and Process Management",Customer/Client Account Management,42470,42471,2016,838866.39,335546.556,847800,40
Employment Practices and Workplace Safety,Safe Environment,42471,42474,2016,271150.26,108460.104,276000,40
External Fraud,Systems Security,42472,42474,2016,75050.41,15010.082,70400,20
External Fraud,Theft and Fraud,42475,42478,2016,253492.97,93792.3989,252300,37
"Execution, Delivery and Process Management",Transaction/Data Management,42485,42488,2016,63319.49,25327.796,67500,40
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",42486,42489,2016,595338.09,119067.618,610000,20
External Fraud,Theft and Fraud,42486,42489,2016,256739.98,74454.5942,265900,29
External Fraud,Theft and Fraud,42489,42491,2016,95698.77,32537.5818,106200,34
Employment Practices and Workplace Safety,Diversity and Discrimination,42491,42493,2016,-321.69,-106.1577,3300,33
"Execution, Delivery and Process Management",Customer Intake and Documentation,42493,42494,2016,743480.85,245348.6805,746300,33
"Execution, Delivery and Process Management",Trade Counterparties,42494,42495,2016,57531,20711.16,56600,36
External Fraud,Systems Security,42497,42494,2016,50000,18000,50000,36
"Execution, Delivery and Process Management",Reporting and Disclosure,42503,42506,2016,1004634.98,351622.243,1018100,35
External Fraud,Systems Security,42503,42506,2016,213941.7,79158.429,225500,37
External Fraud,Theft and Fraud,42506,42507,2016,146510.97,39557.9619,155100,27
"Execution, Delivery and Process Management",Trade Counterparties,42507,42510,2016,184819.7,53597.713,187800,29
External Fraud,Theft and Fraud,42516,42519,2016,109822.27,37339.5718,104500,34
External Fraud,Theft and Fraud,42524,42527,2016,195605.57,66505.8938,188000,34
External Fraud,Theft and Fraud,42525,42525,2016,1280000,281600,1075000,22
Internal Fraud,Theft and Fraud,42525,41368,2013,650000,162500,700000,25
External Fraud,Theft and Fraud,42528,42525,2016,50000,15500,50000,31
Internal Fraud,Theft and Fraud,42529,42531,2016,95970.71,31670.3343,99600,33
External Fraud,Systems Security,42530,42533,2016,107396.11,35440.7163,104200,33
Internal Fraud,Unauthorized Activity,42533,42534,2016,19572.92,7829.168,15600,40
External Fraud,Theft and Fraud,42537,42540,2016,99452.9,28841.341,107100,29
External Fraud,Theft and Fraud,42539,42542,2016,146405.15,40993.442,144000,28
External Fraud,Theft and Fraud,42543,42546,2016,184224.9,66320.964,185900,36
"Execution, Delivery and Process Management",Reporting and Disclosure,42545,42548,2016,61592.27,19093.6037,79000,31
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",42547,42550,2016,210401.98,71536.6732,215300,34
External Fraud,Systems Security,42548,42549,2016,121226.73,43641.6228,128000,36
External Fraud,Theft and Fraud,42550,42552,2016,54857,14811.39,63800,27
"Execution, Delivery and Process Management",Reporting and Disclosure,42551,42552,2016,271216.77,108486.708,279200,40
"Execution, Delivery and Process Management",Customer Intake and Documentation,42552,42554,2016,976492.6,234358.224,977200,24
External Fraud,Theft and Fraud,42554,42557,2016,240012.59,81604.2806,248500,34
"Execution, Delivery and Process Management",Reporting and Disclosure,42555,42558,2016,139807.02,54524.7378,149700,39
"Execution, Delivery and Process Management",Trade Counterparties,42556,42558,2016,69115.78,21425.8918,70100,31
External Fraud,Systems Security,42558,42555,2016,1000000,400000,1000000,40
"Execution, Delivery and Process Management",Vendors and Suppliers,42559,42560,2016,269621.58,26962.158,276400,10
"Execution, Delivery and Process Management",Customer/Client Account Management,42559,42562,2016,194017.32,69846.2352,188200,36
"Execution, Delivery and Process Management",Transaction/Data Management,42561,42562,2016,592944.94,195671.8302,589200,33
External Fraud,Theft and Fraud,42561,42564,2016,120593.47,38589.9104,118700,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,42561,42564,2016,11385645.95,2732555.028,11398000,24
Employment Practices and Workplace Safety,Employee Relations,42566,42569,2016,271735.02,57064.3542,285900,21
External Fraud,Systems Security,42566,42569,2016,196246.03,41211.6663,202800,21
"Execution, Delivery and Process Management",Trade Counterparties,42572,42575,2016,85857.51,19747.2273,86700,23
"Execution, Delivery and Process Management",Reporting and Disclosure,42573,42576,2016,216383.13,86553.252,220600,40
External Fraud,Theft and Fraud,42574,42577,2016,178936.27,37576.6167,173900,21
External Fraud,Theft and Fraud,42575,42576,2016,433502.01,143055.6633,442200,33
"Execution, Delivery and Process Management",Trade Counterparties,42576,42577,2016,189348.38,39763.1598,204300,21
External Fraud,Theft and Fraud,42581,42583,2016,240462.5,79352.625,251600,33
"Execution, Delivery and Process Management",Reporting and Disclosure,42586,42589,2016,33925.01,9838.2529,44900,29
External Fraud,Theft and Fraud,42589,42586,2016,250000,82500,250000,33
"Clients, Products and Business Practices",Improper Business or Market Practices,42589,42589,2016,3000000,900000,3000000,30
External Fraud,Systems Security,42600,42601,2016,253566.8,83677.044,261200,33
External Fraud,Theft and Fraud,42615,42618,2016,95850.34,33547.619,111500,35
External Fraud,Theft and Fraud,42616,42618,2016,12382.63,3590.9627,19100,29
External Fraud,Theft and Fraud,42619,42622,2016,144586.99,31809.1378,145400,22
External Fraud,Theft and Fraud,42620,42617,2016,200000,66000,200000,33
"Execution, Delivery and Process Management",Reporting and Disclosure,42620,42621,2016,423836.78,148342.873,424500,35
Employment Practices and Workplace Safety,Safe Environment,42622,42625,2016,117283.68,35185.104,126200,30
External Fraud,Systems Security,42623,42624,2016,264711.35,82060.5185,269300,31
External Fraud,Theft and Fraud,42625,42626,2016,163717.28,54026.7024,167600,33
External Fraud,Theft and Fraud,42628,42630,2016,165618.94,56310.4396,175000,34
External Fraud,Theft and Fraud,42629,42630,2016,93295.99,32653.5965,99400,35
Damage to Physical Assets,Disaster and other events,42629,42632,2016,130746.45,33994.077,131800,26
External Fraud,Systems Security,42630,42631,2016,807358.9,226060.492,821500,28
External Fraud,Theft and Fraud,42631,42634,2016,12413.33,4965.332,15600,40
"Execution, Delivery and Process Management",Customer Intake and Documentation,42634,42635,2016,673749.81,175174.9506,671200,26
External Fraud,Theft and Fraud,42636,42639,2016,139471.8,29289.078,144100,21
External Fraud,Theft and Fraud,42650,42651,2016,344640.16,137856.064,339700,40
External Fraud,Systems Security,42650,42653,2016,251469.94,88014.479,263400,35
"Execution, Delivery and Process Management",Customer Intake and Documentation,42650,42586,2016,1000000,220000,1000000,22
Business Disruption and System Failures,Infrastructure and Systems,42650,42647,2016,100000,28000,3000000,28
"Execution, Delivery and Process Management",Customer/Client Account Management,42650,42650,2016,1700000,493000,1700000,29
External Fraud,Theft and Fraud,42651,42654,2016,257339.87,97789.1506,266400,38
External Fraud,Theft and Fraud,42652,42653,2016,176588.19,37083.5199,184700,21
"Execution, Delivery and Process Management",Reporting and Disclosure,42662,42665,2016,45684.72,15075.9576,51000,33
External Fraud,Theft and Fraud,42663,42666,2016,256693.08,71874.0624,269200,28
"Execution, Delivery and Process Management",Trade Counterparties,42663,42664,2016,1024163.2,256040.8,1025200,25
"Clients, Products and Business Practices",Improper Business or Market Practices,42666,42669,2016,278250.07,86257.5217,274500,31
"Clients, Products and Business Practices",Product Flaws,42671,42672,2016,67440.61,15511.3403,65300,23
"Execution, Delivery and Process Management",Vendors and Suppliers,42672,42675,2016,750327.81,195085.2306,760300,26
"Execution, Delivery and Process Management",Customer/Client Account Management,42674,42676,2016,561737.86,146051.8436,561800,26
External Fraud,Systems Security,42676,42679,2016,30978.32,6195.664,32200,20
"Clients, Products and Business Practices",Advisory Activities,42676,42677,2016,329053.88,98716.164,338100,30
"Execution, Delivery and Process Management",Transaction/Data Management,42677,42680,2016,734047.12,161490.3664,731700,22
External Fraud,Theft and Fraud,42678,42681,2016,154373.74,35505.9602,160600,23
"Clients, Products and Business Practices",Product Flaws,42680,42683,2016,295581.72,85718.6988,305500,29
External Fraud,Theft and Fraud,42688,42690,2016,224606.8,51659.564,218600,23
"Execution, Delivery and Process Management",Customer Intake and Documentation,42689,42692,2016,140156.43,46251.6219,141600,33
"Execution, Delivery and Process Management",Trade Counterparties,42693,42696,2016,77066.5,15413.3,79100,20
External Fraud,Theft and Fraud,42703,42705,2016,154526.03,57174.6311,153700,37
"Clients, Products and Business Practices",Advisory Activities,42709,42710,2016,77504.95,23251.485,78000,30
"Execution, Delivery and Process Management",Reporting and Disclosure,42710,42712,2016,38620.29,12744.6957,49200,33
External Fraud,Systems Security,42713,42716,2016,180406.43,43297.5432,172700,24
"Execution, Delivery and Process Management",Trade Counterparties,42714,42717,2016,21543.15,4308.63,31300,20
Employment Practices and Workplace Safety,Safe Environment,42719,42720,2016,279409.55,55881.91,279000,20
External Fraud,Theft and Fraud,42719,42722,2016,8946.7,1878.807,21500,21
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",42720,42723,2016,616953.59,135729.7898,624300,22
External Fraud,Theft and Fraud,42721,42723,2016,122767.05,24553.41,139500,20
External Fraud,Theft and Fraud,42725,42726,2016,90594.59,23554.5934,100200,26
"Execution, Delivery and Process Management",Reporting and Disclosure,42725,42728,2016,195870.46,64637.2518,206600,33
Employment Practices and Workplace Safety,Diversity and Discrimination,42729,42731,2016,257002.61,95090.9657,275900,37
Employment Practices and Workplace Safety,Employee Relations,42732,42733,2016,583.11,215.7507,-5300,37
External Fraud,Theft and Fraud,42737,42739,2017,122691.6,36807.48,140400,30
"Execution, Delivery and Process Management",Reporting and Disclosure,42738,42741,2017,198692.55,39738.51,215800,20
"Execution, Delivery and Process Management",Customer Intake and Documentation,42741,42742,2017,267485.43,74895.9204,267900,28
External Fraud,Theft and Fraud,42742,42742,2017,120000,43200,120000,36
"Execution, Delivery and Process Management",Trade Counterparties,42746,42747,2017,201839.78,40367.956,213500,20
External Fraud,Theft and Fraud,42750,42752,2017,201165.93,40233.186,202300,20
External Fraud,Systems Security,42754,42755,2017,34710.65,10066.0885,42200,29
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",42755,42756,2017,64269.46,14781.9758,76300,23
"Execution, Delivery and Process Management",Reporting and Disclosure,42757,42759,2017,-4993.44,-1947.4416,-7700,39
External Fraud,Theft and Fraud,42760,42763,2017,27158.29,9776.9844,27100,36
External Fraud,Theft and Fraud,42761,42764,2017,105611.89,24290.7347,118800,23
"Clients, Products and Business Practices",Improper Business or Market Practices,42764,42766,2017,11563942.25,3584822.098,11576400,31
External Fraud,Theft and Fraud,42764,42767,2017,147013.52,55865.1376,146900,38
"Execution, Delivery and Process Management",Vendors and Suppliers,42765,42767,2017,56958.06,15378.6762,59800,27
"Execution, Delivery and Process Management",Customer/Client Account Management,42771,42774,2017,107177.72,38583.9792,107600,36
External Fraud,Systems Security,42771,42774,2017,119180.92,44096.9404,111900,37
External Fraud,Systems Security,42773,42773,2017,1900000,627000,1600000,33
"Execution, Delivery and Process Management",Transaction/Data Management,42775,42777,2017,5176.18,1138.7596,17700,22
External Fraud,Theft and Fraud,42779,42782,2017,103491.7,31047.51,116300,30
"Execution, Delivery and Process Management",Customer Intake and Documentation,42784,42786,2017,129643.07,51857.228,131300,40
External Fraud,Theft and Fraud,42789,42791,2017,149806.43,55428.3791,147800,37
"Execution, Delivery and Process Management",Trade Counterparties,42791,42794,2017,272548.22,76313.5016,275800,28
External Fraud,Theft and Fraud,42795,42796,2017,10227.24,2761.3548,22500,27
External Fraud,Systems Security,42795,42798,2017,92488.1,30521.073,90100,33
External Fraud,Theft and Fraud,42796,42799,2017,660810.86,165202.715,664100,25
"Execution, Delivery and Process Management",Reporting and Disclosure,42798,42801,2017,244757.98,85665.293,247100,35
"Execution, Delivery and Process Management",Trade Counterparties,42805,42806,2017,852074.12,298225.942,847500,35
External Fraud,Theft and Fraud,42809,42810,2017,107669.04,37684.164,110900,35
"Execution, Delivery and Process Management",Reporting and Disclosure,42810,42813,2017,516567.4,118810.502,517400,23
Employment Practices and Workplace Safety,Safe Environment,42821,42824,2017,83700.89,24273.2581,96000,29
External Fraud,Theft and Fraud,42823,42825,2017,117638,45878.82,117200,39
External Fraud,Systems Security,42824,42825,2017,131914.22,40893.4082,133700,31
External Fraud,Theft and Fraud,42828,42831,2017,214453.61,72914.2274,226500,34
External Fraud,Theft and Fraud,42831,42832,2017,205984.74,82393.896,216000,40
External Fraud,Theft and Fraud,42832,42833,2017,65970.61,20450.8891,65300,31
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",42832,42833,2017,452727.89,172036.5982,459800,38
External Fraud,Systems Security,42832,42832,2017,500000,125000,500000,25
"Execution, Delivery and Process Management",Reporting and Disclosure,42835,42838,2017,774023.68,294128.9984,776500,38
"Execution, Delivery and Process Management",Customer Intake and Documentation,42840,42843,2017,63087.84,14510.2032,66500,23
External Fraud,Systems Security,42843,42844,2017,250721.14,50144.228,251200,20
External Fraud,Theft and Fraud,42847,42849,2017,195198.9,39039.78,200300,20
External Fraud,Theft and Fraud,42848,42849,2017,172233.93,34446.786,177900,20
Internal Fraud,Theft and Fraud,42848,42851,2017,265436.65,71667.8955,272800,27
External Fraud,Theft and Fraud,42849,42852,2017,230535.08,53023.0684,247800,23
Internal Fraud,Unauthorized Activity,42851,42853,2017,260999.21,93959.7156,266700,36
Business Disruption and System Failures,Infrastructure and Systems,42853,42856,2017,778829.98,264802.1932,783300,34
"Execution, Delivery and Process Management",Trade Counterparties,42854,42855,2017,160869.47,53086.9251,167600,33
Employment Practices and Workplace Safety,Diversity and Discrimination,42857,42858,2017,126963.65,40628.368,122300,32
"Clients, Products and Business Practices",Product Flaws,42858,42859,2017,403289.4,80657.88,418500,20
"Execution, Delivery and Process Management",Reporting and Disclosure,42859,42862,2017,54839.5,20839.01,61400,38
"Execution, Delivery and Process Management",Vendors and Suppliers,42859,42862,2017,131660.41,23698.8738,130900,18
"Execution, Delivery and Process Management",Customer/Client Account Management,42863,42864,2017,36381.07,12369.5638,35900,34
"Execution, Delivery and Process Management",Transaction/Data Management,42868,42870,2017,8969.53,2870.2496,14900,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,42871,42874,2017,1052505.15,410477.0085,1056300,39
"Execution, Delivery and Process Management",Trade Counterparties,42873,42876,2017,241139.77,62696.3402,252400,26
"Execution, Delivery and Process Management",Reporting and Disclosure,42877,42879,2017,579905.62,173971.686,579700,30
External Fraud,Systems Security,42877,42878,2017,1422118.03,312865.9666,1429200,22
External Fraud,Theft and Fraud,42885,42886,2017,83954.76,27705.0708,98400,33
External Fraud,Theft and Fraud,42888,42891,2017,246516.56,96141.4584,261900,39
"Execution, Delivery and Process Management",Trade Counterparties,42894,42897,2017,234291.56,51544.1432,232500,22
"Execution, Delivery and Process Management",Reporting and Disclosure,42895,42898,2017,762898.49,190724.6225,768900,25
"Clients, Products and Business Practices",Advisory Activities,42897,42898,2017,57619.67,19590.6878,58300,34
External Fraud,Theft and Fraud,42898,42901,2017,126065.81,34037.7687,135900,27
External Fraud,Theft and Fraud,42907,42910,2017,199243.16,73719.9692,210800,37
External Fraud,Systems Security,42907,42908,2017,199518.71,63845.9872,195900,32
External Fraud,Theft and Fraud,42915,42918,2017,161731.07,51753.9424,158000,32
External Fraud,Theft and Fraud,42916,42919,2017,164327.71,49298.313,167200,30
"Execution, Delivery and Process Management",Reporting and Disclosure,42918,42920,2017,278411.51,77955.2228,284700,28
"Execution, Delivery and Process Management",Customer Intake and Documentation,42918,42921,2017,744335.69,260517.4915,747700,35
External Fraud,Systems Security,42921,42924,2017,103238.87,32004.0497,114500,31
"Execution, Delivery and Process Management",Trade Counterparties,42924,42925,2017,312526.32,71881.0536,318100,23
Employment Practices and Workplace Safety,Employee Relations,42925,42928,2017,262263.58,73433.8024,269800,28
"Execution, Delivery and Process Management",Reporting and Disclosure,42926,42929,2017,243840.23,97536.092,246200,40
"Clients, Products and Business Practices",Product Flaws,42927,42930,2017,435474.85,121932.958,434800,28
External Fraud,Theft and Fraud,42927,42930,2017,206537.42,49568.9808,206300,24
Internal Fraud,Theft and Fraud,42932,42933,2017,40798.37,13871.4458,55500,34
Employment Practices and Workplace Safety,Safe Environment,42936,42938,2017,166849.6,46717.888,176500,28
"Execution, Delivery and Process Management",Vendors and Suppliers,42936,42939,2017,750530.88,127590.2496,756700,17
External Fraud,Theft and Fraud,42940,42943,2017,728552.01,225851.1231,732800,31
External Fraud,Theft and Fraud,42943,42944,2017,236271.73,94508.692,236600,40
Internal Fraud,Theft and Fraud,42946,42948,2017,34355.86,13398.7854,33000,39
Internal Fraud,Unauthorized Activity,42951,42954,2017,144962.62,30442.1502,150800,21
"Execution, Delivery and Process Management",Customer/Client Account Management,42956,42959,2017,661563.29,264625.316,659000,40
External Fraud,Theft and Fraud,42957,42960,2017,709258.82,255333.1752,721700,36
External Fraud,Systems Security,42959,42960,2017,82745.86,17376.6306,80100,21
